,POS_tag,mean_importance_score
0,ADJ,0.007082657225061027
1,PRON,0.0640473152804446
2,NOUN,0.0034026663709991294
3,VERB,0.005698032731889313
4,ADV,0.01034345744268399
5,PROPN,0.005380871181066987
6,DET,0.008325579676631759
7,PUNC,0.010336977230774952
8,AUX,0.18404512906991705
9,ADP,0.0018337357301961394
