words,attribution,abs_attribution
cool,0.16179682784518123,0.16179682784518123
stuff,0.08593274478934149,0.08593274478934149
band,0.02732547257016986,0.02732547257016986
##on,0.038978955870399165,0.038978955870399165
rio,-0.210289157826901,0.210289157826901
sure,-0.1249188992188623,0.1249188992188623
rio,-0.210289157826901,0.210289157826901
fight,-0.07139496590361714,0.07139496590361714
garden,-0.02492196934310001,0.02492196934310001
ci,-0.028115245131729985,0.028115245131729985
##ti,-0.0067974066325094,0.0067974066325094
gym,0.1259777311027067,0.1259777311027067
victor,0.02672053631616804,0.02672053631616804
ortiz,0.02096112444601909,0.02096112444601909
gym,0.1259777311027067,0.1259777311027067
hate,0.20078341073733136,0.20078341073733136
happen,0.005562525043070529,0.005562525043070529
th,-0.0037685232346145138,0.0037685232346145138
##ier,-0.02637980736608707,0.02637980736608707
amateur,-0.056374028187880336,0.056374028187880336
career,0.08998375353318852,0.08998375353318852
right,0.1937482843756982,0.1937482843756982
find,0.06083467538346549,0.06083467538346549
ci,-0.028115245131729985,0.028115245131729985
##tat,-0.025882146454155864,0.025882146454155864
let,-0.000926492964794397,0.000926492964794397
keep,-0.0607116796733026,0.0607116796733026
art,-0.05732594569053126,0.05732594569053126
##ic,-0.07215937119762715,0.07215937119762715
##l,-0.07733739651267066,0.07733739651267066
thank,0.03467336358650859,0.03467336358650859
stay,0.06366414002224638,0.06366414002224638
s,-0.008079600716972377,0.008079600716972377
##ni,0.12017280467067175,0.12017280467067175
##vel,0.029179561800983626,0.029179561800983626
lit,0.013504676571763758,0.013504676571763758
##tl,0.014708953649221455,0.014708953649221455
shit,0.0816539031751234,0.0816539031751234
ho,0.02268778877197831,0.02268778877197831
##rri,0.005378348287435355,0.005378348287435355
##bl,0.011729618046452802,0.011729618046452802
ho,0.02268778877197831,0.02268778877197831
##rri,0.005378348287435355,0.005378348287435355
##bl,0.011729618046452802,0.011729618046452802
ho,0.02268778877197831,0.02268778877197831
##rri,0.005378348287435355,0.005378348287435355
##bl,0.011729618046452802,0.011729618046452802
vile,0.023344890553952655,0.023344890553952655
nas,0.019401559214647947,0.019401559214647947
##ti,0.007249131759132135,0.007249131759132135
thing,0.014266037220754575,0.014266037220754575
come,0.02206458704795124,0.02206458704795124
way,0.011546716574527601,0.011546716574527601
lit,0.013504676571763758,0.013504676571763758
##tl,0.014708953649221455,0.014708953649221455
geo,-0.0035386974171701946,0.0035386974171701946
##rdi,0.016822208126723085,0.016822208126723085
shit,0.0816539031751234,0.0816539031751234
##bag,0.021649058208711037,0.021649058208711037
mark,0.0015189824249003956,0.0015189824249003956
word,-0.0021923639621245295,0.0021923639621245295
get,0.018211861985487455,0.018211861985487455
good,0.06496579971379131,0.06496579971379131
proper,-0.007684465923947172,0.007684465923947172
worth,-0.10253749939995915,0.10253749939995915
look,-0.10795254111179675,0.10795254111179675
though,-0.05847125949065202,0.05847125949065202
last,0.031004501986872043,0.031004501986872043
one,0.05762541100687183,0.05762541100687183
li,-0.052917919826754395,0.052917919826754395
##cens,-0.03163206811858903,0.03163206811858903
by,-0.049595087883462424,0.049595087883462424
##nc,-0.028084324349072386,0.028084324349072386
sure,0.07726730121947156,0.07726730121947156
could,0.052788848486570325,0.052788848486570325
use,0.0031830364205584264,0.0031830364205584264
take,0.18791408778750995,0.18791408778750995
look,-0.10795254111179675,0.10795254111179675
photo,-0.057427024037733865,0.057427024037733865
let,0.10463293664318628,0.10463293664318628
know,-0.1544249034273803,0.1544249034273803
one,0.05762541100687183,0.05762541100687183
like,0.002854406727487505,0.002854406727487505
up,0.09931761277070066,0.09931761277070066
##load,-0.004662412155533993,0.004662412155533993
common,-0.02193694155461158,0.02193694155461158
hmm,-0.00033677506346854605,0.00033677506346854605
##m,-0.003116010769894364,0.003116010769894364
well,-0.03748905546503395,0.03748905546503395
think,-0.12539430158882875,0.12539430158882875
info,-0.0722908234344552,0.0722908234344552
pic,-0.026411411827633742,0.026411411827633742
