propn,propn_attribution
nazis,3.2418187508970075e-06
amrit,0.0
ambrosial,0.0
nectar,0.0
sikhs,3.7158690065216045e-06
amrita,0.0
msn,0.0
encarta,0.0
stub,0.0
un,0.002290579594685716
wikipedia,0.0017062812147624162
agenda,0.00012404944785816163
ngo,0.0
gettysburg,1.6050242688632122e-07
hal,0.0
hlj,0.0
queer,0.0
papua,0.0
history_of_indonesia,0.0
west,1.1727510589499813e-07
new,0.0006842165933559125
guinea,0.0
adam,0.002636423045461967
zimbabwe,0.0
mr,0.003587261656435966
.,0.0021220543317550284
b,7.844584835695347e-05
jemi,0.0
npov,0.0
matthew,1.7623012345979486e-06
stannard,0.0
english,0.0035955692816894854
dictionary,0.0
aryan,0.0
levzur,0.0
december,1.2223306408282747e-05
zviad,0.0
gamsakhurdia,0.0
levzur,0.0
hellfire,0.0
club==,0.0
sorry,0.003357070054027152
r,1.2900774032759788e-06
american,0.011334346277659012
version,4.112875475417625e-06
regis,0.0
laura,0.0
bush,9.434828039549332e-07
kadesh,0.0
jun,0.0
crackpot.===,0.0
wikipedia,0.0017062812147624162
danderyd,0.0
djursholm,0.0
djursholmsslott.png,0.0
jpeg,0.0
house,1.0322846811575584e-06
london,1.919868344262402e-05
png,0.0
tiara,0.0
2nd,0.0
vatican,0.0
council,2.6285542045254395e-06
tiaras,0.0
ps,0.009778082504291418
manual,7.726270846543239e-06
japan==,0.0
manual,7.726270846543239e-06
japan,5.898406915234572e-06
lyndon,0.0
la,2.116172883601682e-06
rouche,0.0
ireland,5.487885199350068e-06
ama,1.4081707974902053e-05
interwiki,0.0
jul,0.0
dab,0.0
wp,0.0
behavior====,0.0
kettle,0.0
|,9.636505279751074e-06
fyi,0.0
sparky,0.0
reagan,2.567938147934065e-05
sparky,0.0
jiang,1.4658299616197706e-06
national,8.885733818613512e-06
enquirer,0.0
kettle,0.0
perry,0.0
mason,0.0
|,9.636505279751074e-06
chiasmus,0.0
mediation,2.2109619950882765e-06
committee,1.7821907436297978e-06
|,9.636505279751074e-06
europe,6.054963843358186e-06
user:198.103.53.5,0.0
hahaha,0.0
south,1.117985644712208e-05
bay,7.96987297622558e-06
san,3.948071584944837e-06
francisco,2.4833924349881106e-06
bay,7.96987297622558e-06
mr,0.003587261656435966
vivian,0.0
c,0.007733888365914011
kenney,0.0
sydney,0.0
oct.18,0.0
diam.and,0.0
etc.itis,0.0
beautifly,0.0
r.t.gould,0.0
harrison,0.0
turret,0.0
clock,8.801681540568089e-07
optusnet.com.au,0.0
p.s,0.0
.,0.0021220543317550284
ignatius,0.0
jesus,0.017054150315581218
ignatius,0.0
macintyre,0.0
page,0.0011505775090928402
interior,0.0
interior,0.0
prince,3.1879447550152913e-06
m,2.030756089147544e-06
pa,6.032792892510478e-06
m,2.030756089147544e-06
pa,6.032792892510478e-06
chemical,0.0
dear,9.30435866162728e-06
195.198.190.70,0.0
aug,4.479237888178684e-06
ip,0.0003359618801465077
ip,0.0003359618801465077
matthew,1.7623012345979486e-06
trump,5.775717581595163e-07
nyc,4.1410359902040445e-06
donald,0.0
trump,5.775717581595163e-07
english,0.0035955692816894854
descentare,0.0
latin,0.10245457441096051
ing,7.106139062250243e-06
u,0.016286924497324447
latin,0.10245457441096051
latin,0.10245457441096051
u,0.016286924497324447
chameleon,0.0
|,9.636505279751074e-06
roberto,0.0
olympic,1.9132498680981082e-06
games,4.302906390092834e-06
pederasty,0.0
un,0.002290579594685716
games,4.302906390092834e-06
i.e,0.0
.,0.0021220543317550284
capone,0.0
aug,4.479237888178684e-06
wikipedia,0.0017062812147624162
sep,0.0
english,0.0035955692816894854
russian,3.0513915240094638e-06
ed,1.8648121957660039e-06
h,5.256730923924623e-06
sep,0.0
prc,0.0
china,1.599527383049179e-05
china,1.599527383049179e-05
u.s,0.0
social,1.7446937455479908e-06
germany,7.075942877338356e-06
keynesian,0.0
japan,5.898406915234572e-06
china,1.599527383049179e-05
u.s,0.0
germany,7.075942877338356e-06
u.s,0.0
prc,0.0
jerry,4.3828399103023234e-05
remigius,0.0
kanagarajah==,0.0
jerry,4.3828399103023234e-05
remigius,0.0
kanagarajah==,0.0
sep,0.0
sep,0.0
eg,0.0
caterpillar,0.0
jim,8.507228010190537e-06
wp,0.0
english,0.0035955692816894854
russ,9.354462414010319e-08
rowlett,0.0
latin,0.10245457441096051
pes,0.0
naturalis,0.0
middle,0.004989104219727667
east,0.006204618982651857
swedish,5.020865852705915e-06
fot,0.0
aka,2.2850848558859996e-06
stockholm,0.0
cm,2.91343324687082e-06
rhine,0.0
bavarian,0.0
fu,0.013534675883706026
french,5.9184803565150465e-06
cm,2.91343324687082e-06
varied,1.2818817711840122e-05
cm,2.91343324687082e-06
venice,0.0
spain,1.4700165071526745e-05
spain,1.4700165071526745e-05
texas,9.74655243674213e-06
benjamin,0.0
gould,0.0
terracotta,0.0
army,4.486465524069536e-06
sep,0.0
bahai,0.0
galapagos,0.0
islands,4.735798740518135e-06
charles,7.548005480571441e-06
darwin,2.587880619004622e-07
wikipedia,0.0017062812147624162
wikipedia,0.0017062812147624162
dab,0.0
english,0.0035955692816894854
tyler,0.0
i.e,0.0
.,0.0021220543317550284
hunter,0.0
gatherer,0.0
digest,0.0
jack,0.01228120192981588
joe==,0.0
hey,0.00012797382740762118
joe,2.2589705007658745e-06
joe,2.2589705007658745e-06
jack,0.01228120192981588
xxxxxx,0.0
joe,2.2589705007658745e-06
digest,0.0
john,3.4426558087119514e-06
pekkanens,0.0
johns,0.0001732720780642414
brain,3.5378661404233094e-06
digest,0.0
south,1.117985644712208e-05
africa,3.7329896727364404e-06
janes,0.0
uterus,0.0
joes,0.0
prostate,0.0
uk,6.06322562592006e-06
random,0.07603390922422966
house,1.0322846811575584e-06
english,0.0035955692816894854
rd,0.0
joe,2.2589705007658745e-06
rd,0.0
.,0.0021220543317550284
joe,2.2589705007658745e-06
15t22:37z,0.0
digest,0.0
joe,2.2589705007658745e-06
joe,2.2589705007658745e-06
jack,0.01228120192981588
joe,2.2589705007658745e-06
lord,5.577965396579063e-06
peter,6.923533625362077e-06
jackson,0.0
jrr,0.0
tolkiens,0.0
tyler,0.0
section==,0.0
tyler,0.0
durden,0.0
chuck,0.0
palahniuk,0.0
aug,4.479237888178684e-06
movie,4.291680896206616e-06
book,1.5660496334835744e-06
balance==,0.0
digest,0.0
jack,0.01228120192981588
joe,2.2589705007658745e-06
section,1.3509091274342451e-05
khrushchev,0.0
solzhenitsyn,0.0
wikipedia,0.0017062812147624162
renault,0.0
bo,5.111319176181205e-06
mac,0.0
taiwanese,0.0
mac,0.0
prc,0.0
fyi,0.0
thomas,0.0
cranmer,0.0
nicholas,5.051310431285262e-07
ridley,0.0
martyr,2.735916466354484e-07
hugh,0.0
latimer,0.0
oct,0.0
john,3.4426558087119514e-06
child,0.0
john,3.4426558087119514e-06
child,0.0
john,3.4426558087119514e-06
jesus,0.017054150315581218
oedipus,0.0
jocasta,0.0
frued,0.0
erik,0.0
menendez,0.0
jeremy,0.0
bamber,0.0
bamber,0.0
wikipedias,0.0
npov,0.0
nov,0.0
november,4.2181156065637195e-06
aol,0.0
jeeves,0.0
google,2.451362213191733e-06
crawler,0.0
msn,0.0
teoma,0.0
vivisimo,0.0
yahoo,0.0
edward,7.0247201624067816e-06
