aux,aux_attribution
am,0.15318488669585834
was,0.09237126681983839
was,0.09237126681983839
am,0.15318488669585834
is,0.1854296228202255
is,0.1854296228202255
have,0.06667329306248901
is,0.1854296228202255
is,0.1854296228202255
is,0.1854296228202255
has,0.0005326127756621746
does,0.24244087028532016
is,0.1854296228202255
does,0.24244087028532016
is,0.1854296228202255
do,0.16448146452569273
are,0.3333127990913425
does,0.24244087028532016
is,0.1854296228202255
is,0.1854296228202255
am,0.15318488669585834
are,0.3333127990913425
do,0.16448146452569273
was,0.09237126681983839
have,0.06667329306248901
is,0.1854296228202255
were,0.03096222698687916
be,0.05826012198009677
has,0.0005326127756621746
are,0.3333127990913425
are,0.3333127990913425
be,0.05826012198009677
is,0.1854296228202255
is,0.1854296228202255
be,0.05826012198009677
is,0.1854296228202255
be,0.05826012198009677
has,0.0005326127756621746
is,0.1854296228202255
have,0.06667329306248901
is,0.1854296228202255
are,0.3333127990913425
have,0.06667329306248901
is,0.1854296228202255
was,0.09237126681983839
are,0.3333127990913425
have,0.06667329306248901
be,0.05826012198009677
is,0.1854296228202255
have,0.06667329306248901
have,0.06667329306248901
is,0.1854296228202255
have,0.06667329306248901
are,0.3333127990913425
have,0.06667329306248901
is,0.1854296228202255
is,0.1854296228202255
is,0.1854296228202255
is,0.1854296228202255
did,0.431126660250134
be,0.05826012198009677
be,0.05826012198009677
is,0.1854296228202255
is,0.1854296228202255
be,0.05826012198009677
be,0.05826012198009677
was,0.09237126681983839
have,0.06667329306248901
did,0.431126660250134
had,0.0
is,0.1854296228202255
is,0.1854296228202255
have,0.06667329306248901
been,0.5257399020042935
were,0.03096222698687916
were,0.03096222698687916
are,0.3333127990913425
do,0.16448146452569273
have,0.06667329306248901
have,0.06667329306248901
was,0.09237126681983839
are,0.3333127990913425
was,0.09237126681983839
does,0.24244087028532016
have,0.06667329306248901
be,0.05826012198009677
am,0.15318488669585834
been,0.5257399020042935
is,0.1854296228202255
am,0.15318488669585834
are,0.3333127990913425
is,0.1854296228202255
is,0.1854296228202255
has,0.0005326127756621746
is,0.1854296228202255
is,0.1854296228202255
is,0.1854296228202255
does,0.24244087028532016
has,0.0005326127756621746
been,0.5257399020042935
are,0.3333127990913425
are,0.3333127990913425
are,0.3333127990913425
is,0.1854296228202255
do,0.16448146452569273
are,0.3333127990913425
is,0.1854296228202255
have,0.06667329306248901
have,0.06667329306248901
have,0.06667329306248901
are,0.3333127990913425
is,0.1854296228202255
have,0.06667329306248901
been,0.5257399020042935
have,0.06667329306248901
have,0.06667329306248901
is,0.1854296228202255
being,0.27388028126188146
have,0.06667329306248901
are,0.3333127990913425
is,0.1854296228202255
do,0.16448146452569273
get,1.0
